"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","204.0016","205.1018","206.202","206.9088","207.6156","208.3224","209.0292","209.736","208.5898","207.4436","206.2974","205.1512","204.005","202.8922","201.7794","200.6666","199.5538","198.441","196.4624","194.4838","192.5052","190.5266","188.548","184.779","181.01","177.241","173.472","169.703","164.4558","159.2086","153.9614","148.7142","143.467","139.0954","134.7238","130.3522","125.9806","121.609","118.4906","115.3722","112.2538","109.1354","106.017","103.6338","101.2506","98.8674","96.4842","94.101","93.0018","91.9026","90.8034","89.7042","88.605","87.4764","86.3478","85.2192","84.0906","82.962","82.3128","81.6636","81.0144","",
"Bulgaria","BGR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","67.663","68.919","70.175","70.0762","69.9774","69.8786","69.7798","69.681","70.0012","70.3214","70.6416","70.9618","71.282","72.5114","73.7408","74.9702","76.1996","77.429","77.9108","78.3926","78.8744","79.3562","79.838","79.021","78.204","77.387","76.57","75.753","73.9452","72.1374","70.3296","68.5218","66.714","63.021","59.328","55.635","51.942","48.249","47.102","45.955","44.808","43.661","42.514","43.2528","43.9916","44.7304","45.4692","46.208","45.7176","45.2272","44.7368","44.2464","43.756","42.9768","42.1976","41.4184","40.6392","39.86","39.3266","38.7932","38.2598","",
"Bahrain","BHR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","88.455","88.954","89.453","88.954","88.455","87.956","87.457","86.958","84.4128","81.8676","79.3224","76.7772","74.232","72.4354","70.6388","68.8422","67.0456","65.249","62.5222","59.7954","57.0686","54.3418","51.615","47.8004","43.9858","40.1712","36.3566","32.542","30.4958","28.4496","26.4034","24.3572","22.311","21.6048","20.8986","20.1924","19.4862","18.78","18.381","17.982","17.583","17.184","16.785","16.3854","15.9858","15.5862","15.1866","14.787","14.6282","14.4694","14.3106","14.1518","13.993","13.868","13.743","13.618","13.493","13.368","13.239","13.11","12.981","",
"Bahamas, The","BHS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","91.8424","92.6312","93.42","89.6002","85.7804","81.9606","78.1408","74.321","76.4092","78.4974","80.5856","82.6738","84.762","86.0724","87.3828","88.6932","90.0036","91.314","90.1788","89.0436","87.9084","86.7732","85.638","82.4696","79.3012","76.1328","72.9644","69.796","69.7654","69.7348","69.7042","69.6736","69.643","68.0948","66.5466","64.9984","63.4502","61.902","58.342","54.782","51.222","47.662","44.102","43.1744","42.2468","41.3192","40.3916","39.464","38.1306","36.7972","35.4638","34.1304","32.797","32.2378","31.6786","31.1194","30.5602","30.001","29.2254","28.4498","27.6742","",
"Bosnia and Herzegovina","BIH","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","42.9812","44.7526","46.524","47.862","49.2","50.538","51.876","53.214","52.7768","52.3396","51.9024","51.4652","51.028","49.7508","48.4736","47.1964","45.9192","44.642","43.009","41.376","39.743","38.11","36.477","36.5556","36.6342","36.7128","36.7914","36.87","34.6132","32.3564","30.0996","27.8428","25.586","25.5168","25.4476","25.3784","25.3092","25.24","23.9656","22.6912","21.4168","20.1424","18.868","18.3324","17.7968","17.2612","16.7256","16.19","15.3634","14.5368","13.7102","12.8836","12.057","11.574","11.091","10.608","10.125","9.642","9.149","8.656","8.163","",
"Belarus","BLR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","16.57","16.819","17.068","17.1628","17.2576","17.3524","17.4472","17.542","18.872","20.202","21.532","22.862","24.192","25.265","26.338","27.411","28.484","29.557","30.2236","30.8902","31.5568","32.2234","32.89","33.869","34.848","35.827","36.806","37.785","39.0752","40.3654","41.6556","42.9458","44.236","41.993","39.75","37.507","35.264","33.021","31.275","29.529","27.783","26.037","24.291","23.8958","23.5006","23.1054","22.7102","22.315","22.1266","21.9382","21.7498","21.5614","21.373","19.9998","18.6266","17.2534","15.8802","14.507","13.7516","12.9962","12.2408","",
"Belize","BLZ","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","181.72","181.16","180.6","180.04","179.48","178.92","178.36","177.8","177.24","176.68","176.12","175.56","175","174.72","174.44","174.16","173.88","173.6","169.12","164.64","160.16","155.68","151.2","147.28","143.36","139.44","135.52","131.6","129.6232","127.6464","125.6696","123.6928","121.716","118.6248","115.5336","112.4424","109.3512","106.26","103.2454","100.2308","97.2162","94.2016","91.187","88.6808","86.1746","83.6684","81.1622","78.656","77.4606","76.2652","75.0698","73.8744","72.679","71.8406","71.0022","70.1638","69.3254","68.487","68.049","67.611","67.173","",
"Bermuda","BMU","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","102.937","103.261","103.585","103.547","103.509","103.471","103.433","103.395","103.3186","103.2422","103.1658","103.0894","103.013","102.7142","102.4154","102.1166","101.8178","101.519","100.8018","100.0846","99.3674","98.6502","97.933","97.6186","97.3042","96.9898","96.6754","96.361","95.5148","94.6686","93.8224","92.9762","92.13","91.2548","90.3796","89.5044","88.6292","87.754","87.3452","86.9364","86.5276","86.1188","85.71","84.9532","84.1964","83.4396","82.6828","81.926","80.1186","78.3112","76.5038","74.6964","72.889","71.2912","69.6934","68.0956","66.4978","64.9","63.9042","62.9084","61.9126","",
"Brazil","BRA","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","89.8818","89.7404","89.599","88.102","86.605","85.108","83.611","82.114","80.4488","78.7836","77.1184","75.4532","73.788","73.808","73.828","73.848","73.868","73.888","75.0802","76.2724","77.4646","78.6568","79.849","80.2314","80.6138","80.9962","81.3786","81.761","82.1542","82.5474","82.9406","83.3338","83.727","83.834","83.941","84.048","84.155","84.262","83.578","82.894","82.21","81.526","80.842","78.904","76.966","75.028","73.09","71.152","69.7322","68.3124","66.8926","65.4728","64.053","63.0646","62.0762","61.0878","60.0994","59.111","57.8858","56.6606","55.4354","",
