Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1681.1,1514,1749.4,1691.8,1670,1570.8,1681.5,1727.9,1724.7,1666.2,1583.1,1554.5,1785.2,1708.4,1831.6,1769,1923.7,1926.9,1870.9,2005.8,1937.5,1997.9,2205.6,2134.6,2148.5,2146.6,2202.1,2235.8,2500.3,2490.6,2585.8,2625.7,2647.7,2475.9,2593.2,2694.2,2682.4,2865.3,3116.4,3384.4,3311,3395,3479.3,3439.4,3681.6,3761.4,4020.9,4102.5,4176,4288.3,4352.8,4395.8,4508.6,4540.9,4560.4,4601,4706,4791,4810.8,4901.3,
Bulgaria,BGR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1746.6,1822,1858.6,2137,2297.1,2930.6,2951.4,2439.4,2822.4,3124.1,3184.4,3702.2,3492.9,3184.2,3430.5,3741.8,3381.4,3498,3791.6,3705,4062.1,4669.5,3717.2,4497.9,2915,4047,3694.7,3705.5,4402.1,3953.7,3990.8,2953.6,2512.7,2798.9,3069.5,1908.6,3011.5,2684.7,2946.8,2459.9,2898.4,3156.3,2371.3,4077.8,3387,3572.5,2523.7,4094.3,3413,4031,4251.2,3671.8,4561,4860.7,4669.6,4817.8,5479.7,5561.7,5774.7,4373.4,
Bahrain,BHR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,666.7,833.3,833.3,892.9,909.1,914.9,937.5,940,980,980.8,990.7,991,1000,1000,1009.9,1021.2,1030.6,1158.7,1142.9,1141.3,1142.9,1165.4,1250,1333.3,1344.3,1344.3,1363.6,1400,1400,1500,1666.7,1666.7,1600,1793.1,1793.1,1793.1,1740,1984.2,2165.7,2476.2,3000,3050,3400,3550,3600,3800,4000,4761.9,6000,7533.3,7308.5,7340.4,7430.1,7560.4,8291.7,7752.9,7807.2,7925,7795.2,7841.5,
Bosnia and Herzegovina,BIH,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552.8,3504,3606,3586.3,3536.8,3523.7,3481.2,3756.4,2550.2,3201.7,3828.2,2521.6,4433.5,4253.3,4290.8,3223.2,4427.1,4503.1,3853,3724.9,3000.6,4026.9,3977.4,3812.1,5191.7,3732.1,5487.9,5354.7,6050.7,
Belarus,BLR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741.1,2791.1,2268.3,2063.2,2191,2405.7,1889.9,1501.5,1949.7,2000.7,2477.8,2433,2986.1,2848.5,2550.5,2880.9,3549.7,3367.9,2808.3,3241.4,3479.1,3007.8,3720.5,3690.2,3207.3,3358.7,2723.9,3095.6,3539.9,
Belize,BLZ,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,596.4,598.8,694.8,697.3,742,550.9,1027.9,1176.3,1272.7,1628.7,1529.1,1414.9,1860.7,1313.2,1054.7,1450.4,1592.2,1851.9,1711.2,1988.6,2071.5,2030.5,1865.2,1526,1515.9,1753,1706.6,1686.6,1612.4,2013.8,2485.1,2289.7,2185.3,1898.1,1917.7,2504.9,2394.2,2458.5,2805.4,2418.3,3100,2448.9,2851.8,2365.7,2869.5,2672.3,2939.5,2427.2,2686.5,3223.4,3155.5,3451.1,3615.6,3594.6,2897.8,3164.6,4229.1,4043.7,2946.5,3526.3,
Bermuda,BMU,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,954.3,946.5,945.5,795.1,1051.6,1013.1,1095.6,1080.8,1082.1,1056.4,1103.1,1087.9,1091.5,1081.4,1140.6,1223.1,1038.3,1074.1,1131.6,1116.6,1300.5,1253.3,1043.5,1307.7,1336.4,1287.9,1332.9,1321,1354,1360.8,1358.1,1399.7,1537,1426.7,1561.1,1613.6,1388.2,1494.8,1366.5,1641.9,1784.9,1712.4,1963.3,1618.7,1927,2100.1,1763.3,2016.4,2346,2267.3,2045.3,2113.2,1717.9,1958.1,2280.2,2111.3,1845.6,2333.7,2030.1,2024,
Brazil,BRA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1346.3,1381.5,1322.4,1256.4,1428.3,1321.3,1402.2,1350.5,1302.8,1408.8,1290.8,1299.7,1411.7,1455.8,1358.8,1444.6,1452.5,1210.1,1301.3,1575.7,1611.1,1544.8,1614.6,1677.3,1827.8,1664.7,1882.1,1858.8,1999.7,1755.1,1850.7,2142.5,2354.6,2285,2513.1,2422.2,2521.8,2580.4,2732,2643.3,3147.6,2844.8,3385.4,3131.8,2882.6,3210.5,3553.1,3831.3,3532.1,4040.6,4037.5,4584.5,4826.4,4640.4,5000.6,4181.7,5209.7,4806.7,5321.6,5255.7,
Barbados,BRB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1884.2,2511.2,1883,1788.7,1866.7,2075,2325.6,2375.4,2402.7,2424.2,2333.3,2727.6,2631.6,2614.4,2614.4,2614.4,2614.4,2614.4,2614.4,2500,2500,2500,2500,2727.3,2500,2561,2561,2619,2619,2674.4,2625,2571.4,2666.7,2600,2750,2666.7,2600,2600,2600,2608.7,2604.2,2626.5,2630,2659.6,2736.8,2700,2666.7,2734.7,2828,2888.9,2988.9,3200,2833.3,2700,2711.1,2742.9,2846.2,2794.9,2800,3000,
Brunei Darussalam,BRN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1730.6,1852.7,1371.1,1323.5,1173.7,1392.2,1587.1,1586.8,1858.1,1962.1,1602.4,1617.5,2425.1,2904,2717.8,1964.7,1503.4,1591.7,2175.9,1379.7,1364.3,1482.5,1579.7,1557.1,1239.4,2135.9,1063,2168.5,2228.6,1550,1600,1233.3,2257.1,1670.2,1638.7,1651.9,1249.3,1069.5,526.3,650,729.2,729.4,792.8,819,872.8,809.1,725.5,700.8,514.7,580.1,922.7,977.2,966.4,1454.7,2146.1,1558.7,1659.8,2003.8,1940.5,2943.7,
Bhutan,BTN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1440.8,1440,1438.8,1439.4,1437.5,1437.7,1435.1,1432.7,1435.2,1436.7,1437,1441,1439.7,1442.6,1447.9,1438.9,1444.4,1443.3,1434.2,1425,1457.7,1445.3,1429,1442.3,1386.1,1371.9,1181.9,1019.7,1015.2,1279.8,1027.4,1063.6,1164.2,1281.1,1365.8,1467.5,1541,1559.5,1506.7,1437.9,1449.4,1549,1791.3,2995.2,2334.9,2199.7,1999.2,2741.5,2160.4,2469.1,2801.7,2944.2,2941.7,3129.9,3475.7,3373.4,3413,3417,3082.1,3441.5,
Botswana,BWA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,341.8,339.6,382.8,275.9,329.8,439.9,316.9,261.6,309.6,63.2,448,948.5,275.6,691,446.2,643.2,415.1,268.7,132.3,237.2,275.2,287.9,265.3,150.7,200.7,198.5,190.7,375.6,288.9,265.5,381.3,288.7,424.3,223.8,458.4,323.3,276.8,246.7,228.5,152.6,554.4,357.3,1214.5,274.3,438.6,372.4,639.2,360.8,363.6,371.6,452.3,367.2,217.6,305.2,938.4,471.6,318.4,549.7,675.2,1033.6,
Central African Republic,CAF,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,443,540.9,543.9,661.6,790.2,806.6,728.5,814,783.3,712.4,717.9,696.2,682.8,502.6,533.5,526,522.5,595.4,497.2,521,569.6,559.3,674.6,772.1,1076.9,1189.3,958.4,1112.3,1078.6,809.9,893.4,1005.9,989.7,876.4,869.2,882.7,947.9,989.2,1006.8,993.3,1032.6,1048.3,1009.4,1007.7,1018.2,989.7,951.2,946.8,948.4,1447.4,1516,1674.5,1133.9,896,884.1,879.8,896.6,882.6,862.6,816.2,
Canada,CAN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,985,1595.4,1838.9,1527.2,1730.4,1972.7,1519,1734.5,1959.2,2110.8,2145.2,1987.7,1951.3,1726.7,2052.2,2275.8,2265.9,2267.4,2032.7,2141.2,2346.4,2482.8,2204.6,2028,2222.1,2570.4,2396.6,1754.4,2193.6,2636.3,2580.5,2460.3,2647,2594.5,2699.8,2844.2,2584.6,2782.6,3087.8,2805.7,2446.8,2375.4,2758.8,3141.9,3215.9,3046.3,2973.4,3391.7,3299.5,3501.1,3552.4,3456.3,4160.4,3647,3673,4239.1,4104.8,3914.6,4010.8,4079.4,
Central Europe and the Baltics,CEB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1702.259157,1648.968885,1730.87372,1763.01982,1997.141538,2132.041626,2167.64834,2161.954049,2286.376531,2126.70225,2567.784065,2791.212713,2820.457232,2877.235502,2810.449049,3107.499705,2962.244098,3144.387614,2917.081405,3076.524756,3021.386946,3449.919639,3201.139079,3578.036196,3302.537651,3478.624322,3356.658863,3446.120336,3625.493989,3454.587791,3614.394966,2518.985966,2772.994507,2944.857291,3225.796769,2970.865161,3421.997153,3192.283114,3288.749348,2662.670886,3383.25749,3259.86226,2862.676356,4128.801589,3740.745536,3285.714967,3009.364336,3911.425497,3660.70902,3764.982061,4037.07936,3491.5623,4149.561362,4656.460742,4255.412339,4617.852911,4868.755434,4717.518957,4847.886756,4755.958761,
Switzerland,CHE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,2872.6,3776.9,2936.1,3627.4,3212.2,3305.7,3983.4,3852.2,3651.4,3692.5,4282.9,4079.6,4198.3,4766.9,4256.9,4530.2,4004.4,4815.8,5078.4,4623.7,4948.1,5279.9,5071,6162.9,5720.6,5090.7,5043.2,6328.9,6780.9,5983.9,6103.6,5877.4,6209,5807.6,6068.8,6706.8,6407,6641,5643.1,6402.2,6011.9,6269.8,5086.5,6732.5,6300.4,6165,6418.5,6413.1,6578.3,6093.9,6874.6,6464.3,5945.6,7044.6,6431.9,5154.6,6800.2,6332.3,6598.1,6986.9,
Channel Islands,CHI,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
